Fecha,Mes,Derivex_Max,Derivex_Min
2015-02,2016-07,150.0,144.26
2015-03,2015-03,211.09,175.53
2015-03,2015-04,208.18,168.92
2015-03,2015-05,175.26,157.23
2015-03,2015-06,146.31,138.08
2015-03,2015-07,146.3,140.0
2015-03,2015-08,155.0,146.0
2015-03,2015-09,156.56,144.03
2015-03,2015-10, 153.00   , 147.96   
2015-03,2015-11,157.31,148.04
2015-03,2015-12,168.61,152.73
2015-03,2016-01,178.81,160.0
2015-03,2016-02,186.27,172.0
2015-03,2016-03,170.02,155.01
2015-03,2016-04,170.02,155.01
2015-03,2016-05,170.02,155.01
2015-03,2016-06,158.0,145.0
2015-03,2016-07,158.0,145.0
2015-03,2016-08,158.0,145.0
2015-04,2015-04,194.0,165.26
2015-04,2015-05,172.03,164.0
2015-04,2015-06,145.85,135.0
2015-04,2015-07,145.68,140.32
2015-04,2015-08,152.0,142.32
2015-04,2015-09,157.0,148.0
2015-04,2015-10, 160.00   , 147.92   
2015-04,2015-11,158.0,150.49
2015-04,2015-12,165.0,158.47
2015-04,2016-01,180.25,168.0
2015-04,2016-02,188.05,172.0
2015-04,2016-03,187.0,175.62
2015-04,2016-04,166.81,148.8
2015-04,2016-05,166.81,148.8
2015-04,2016-06,166.81,152.0
2015-04,2016-07,159.04,146.4
2015-04,2016-08,159.04,146.4
2015-04,2016-09,162.75,146.4
2015-05,2015-05,267.26,162.88
2015-05,2015-06,213.54,140.45
2015-05,2015-07,177.86,137.0
2015-05,2015-08,184.87,143.32
2015-05,2015-09,180.76,148.28
2015-05,2015-10, 172.50   , 147.91   
2015-05,2015-11,172.09,149.5
2015-05,2015-12,177.06,152.0
2015-05,2016-01,197.68,172.0
2015-05,2016-02,208.35,186.32
2015-05,2016-03,202.94,175.55
2015-05,2016-04,185.22,169.93
2015-05,2016-05,156.46,148.56
2015-05,2016-06,156.46,148.56
2015-05,2016-07,156.46,151.0
2015-05,2016-08,162.09,152.05
2015-05,2016-09,162.09,152.05
2015-05,2016-10,162.09,152.05
2015-06,2015-06,217.33,189.04
2015-06,2015-07,187.47,171.83
2015-06,2015-08,200.0,187.0
2015-06,2015-09,200.0,172.5
2015-06,2015-10, 191.50   , 170.00   
2015-06,2015-11,198.0,168.35
2015-06,2015-12,207.0,170.0
2015-06,2016-01,192.1,180.24
2015-06,2016-02,206.02,197.3
2015-06,2016-03,203.49,178.88
2015-06,2016-04,175.0,170.0
2015-06,2016-05,169.29,160.0
2015-06,2016-06,155.5,151.0
2015-06,2016-07,155.5,151.0
2015-06,2016-08,155.5,151.0
2015-06,2016-09,170.0,166.02
2015-06,2016-10,170.0,166.02
2015-06,2016-11,170.0,166.7
2015-07,2015-07,219.1,192.5
2015-07,2015-08,193.69,183.95
2015-07,2015-09,195.4,185.0
2015-07,2015-10, 191.50   , 176.85   
2015-07,2015-11,198.0,184.95
2015-07,2015-12,207.0,188.14
2015-07,2016-01,201.12,182.08
2015-07,2016-02,206.9,193.07
2015-07,2016-03,203.9,179.0
